Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2017,199 000 km,2 967 cm3,Diesel,115 900 PLN 
2016,153 000 km,2 967 cm3,Diesel,105 900 PLN 
2018,5 km,1 968 cm3,Diesel,211 900 PLN 
2019,5 km,1 984 cm3,Benzyna,295 500 PLN 
2014,179 000 km,3 000 cm3,Diesel,110 000 PLN 
2018,6 339 km,3 000 cm3,Benzyna,309 900 PLN 
2018,22 824 km,3 000 cm3,Benzyna,349 900 PLN 
2016,117 000 km,2 000 cm3,Diesel,104 998 PLN 
2007,282 000 km,2 000 cm3,Diesel,24 500 PLN 
2017,40 426 km,2 000 cm3,Diesel,149 900 PLN 
2011,211 200 km,1 968 cm3,Diesel,42 900 PLN 
2006,198 642 km,2 000 cm3,Benzyna,22 790 PLN 
2014,68 000 km,1 968 cm3,Diesel,115 000 PLN 
2017,40 500 km,2 998 cm3,Diesel,183 000 PLN 
2007,337 890 km,2 700 cm3,Diesel,24 500 PLN 
2013,198 000 km,1 968 cm3,Diesel,69 000 PLN 
2013,199 214 km,1 968 cm3,Diesel,59 777 PLN 
1999,165 000 km,2 400 cm3,Benzyna,10 900 PLN 
1999,210 000 km,2 400 cm3,Benzyna,11 900 PLN 
2013,175 000 km,1 968 cm3,Diesel,59 999 PLN 
1999,202 000 km,2 800 cm3,Benzyna,11 900 PLN 
2002,182 000 km,2 400 cm3,Benzyna,14 900 PLN 
2008,250 000 km,2 698 cm3,Diesel,24 500 PLN 
2011,196 000 km,3 000 cm3,Diesel,62 950 PLN 
2008,279 000 km,3 000 cm3,Diesel,22 900 PLN 
2018,2 980 km,3 000 cm3,Diesel,365 000 PLN 
2005,201 000 km,2 995 cm3,Diesel,33 000 PLN 
1999,203 000 km,2 800 cm3,Benzyna+LPG,10 500 PLN 
2011,236 000 km,2 700 cm3,Diesel,44 000 PLN 
2018,5 km,2 967 cm3,Diesel,285 500 PLN 
2018,5 km,2 967 cm3,Diesel,308 900 PLN 
2018,5 km,1 968 cm3,Diesel,212 900 PLN 
2018,5 km,1 968 cm3,Diesel,214 500 PLN 
2013,176 000 km,2 967 cm3,Diesel,107 000 PLN 
2012,230 000 km,3 000 cm3,Diesel,79 900 PLN 
2011,275 188 km,1 968 cm3,Diesel,52 900 PLN 
2017,78 200 km,2 000 cm3,Diesel,159 900 PLN 
2018,27 438 km,2 000 cm3,Diesel,159 900 PLN 
2018,16 700 km,3 000 cm3,Benzyna,349 900 PLN 
2015,57 500 km,3 000 cm3,Diesel,164 900 PLN 
2009,244 000 km,3 000 cm3,Diesel,41 600 PLN 
