Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2010,260 000 km,2 000 cm3,Diesel,35 900 PLN 
2017,28 000 km,1 969 cm3,Diesel,164 900 PLN 
2005,293 500 km,4 163 cm3,Benzyna+LPG,28 800 PLN 
2012,158 000 km,2 967 cm3,Diesel,99 900 PLN 
2018,5 km,2 967 cm3,Diesel,309 022 PLN 
2018,5 km,2 967 cm3,Diesel,309 820 PLN 
2018,9 000 km,2 967 cm3,Diesel,421 000 PLN 
2008,253 000 km,Diesel,23 900 PLN ,
2011,272 000 km,1 964 cm3,Diesel,33 900 PLN 
2002,253 000 km,2 671 cm3,Benzyna+LPG,6 000 PLN 
2007,249 000 km,2 698 cm3,Diesel,25 900 PLN 
2015,179 000 km,2 000 cm3,Diesel,85 000 PLN 
2007,164 000 km,2 000 cm3,Diesel,29 700 PLN 
2005,255 000 km,2 400 cm3,Benzyna,25 900 PLN 
2016,79 554 km,2 967 cm3,Diesel,176 040 PLN 
2015,150 000 km,2 000 cm3,Diesel,99 999 PLN 
2005,280 000 km,2 967 cm3,Diesel,25 900 PLN 
2013,109 000 km,2 000 cm3,Diesel,67 900 PLN 
2011,127 000 km,1 968 cm3,Diesel,60 000 PLN 
2009,241 000 km,Diesel,34 900 PLN ,
2005,257 000 km,2 967 cm3,Diesel,26 900 PLN 
2016,37 552 km,1 968 cm3,Diesel,129 000 PLN 
2006,222 000 km,3 000 cm3,Diesel,26 900 PLN 
2005,254 282 km,2 700 cm3,Diesel,19 990 PLN 
2006,219 000 km,2 700 cm3,Diesel,18 900 PLN 
2006,317 000 km,2 000 cm3,Diesel,25 000 PLN 
2012,207 000 km,3 000 cm3,Diesel,67 000 PLN 
2009,140 116 km,2 698 cm3,Diesel,27 900 PLN 
2007,146 300 km,2 000 cm3,Diesel,26 900 PLN 
2014,165 000 km,2 999 cm3,Diesel,79 500 PLN 
2004,265 500 km,Diesel,26 900 PLN ,
2010,347 000 km,2 700 cm3,Diesel,28 500 PLN 
2010,251 000 km,1 997 cm3,Diesel,39 900 PLN 
2007,279 379 km,1 968 cm3,Diesel,24 900 PLN 
2010,123 000 km,1 968 cm3,Diesel,42 500 PLN 
2011,189 777 km,1 968 cm3,Diesel,34 700 PLN 
2016,117 000 km,2 997 cm3,Diesel,203 900 PLN 
2010,252 000 km,1 968 cm3,Diesel,31 000 PLN 
2018,5 km,1 968 cm3,Diesel,245 804 PLN 
2018,5 km,1 968 cm3,Diesel,232 613 PLN 
2018,5 km,1 968 cm3,Diesel,241 845 PLN 
2018,5 km,1 968 cm3,Diesel,215 190 PLN 
2018,5 km,1 968 cm3,Diesel,232 407 PLN 
2018,5 km,1 968 cm3,Diesel,209 872 PLN 
2011,151 000 km,Diesel,94 587 PLN ,
2008,259 600 km,2 400 cm3,Benzyna,24 900 PLN 
2012,215 300 km,2 000 cm3,Diesel,69 900 PLN 
2013,282 000 km,1 968 cm3,Diesel,58 900 PLN 
2015,176 000 km,3 000 cm3,Diesel,122 877 PLN 
2012,80 000 km,2 995 cm3,Benzyna,95 000 PLN 
2000,312 484 km,2 771 cm3,Benzyna,5 400 PLN 
1999,226 000 km,2 400 cm3,Benzyna,10 900 PLN 
2019,5 km,1 984 cm3,Benzyna,301 900 PLN 
2015,90 000 km,3 000 cm3,Diesel,165 000 PLN 
2010,157 067 km,2 000 cm3,Diesel,38 200 PLN 
2007,229 494 km,3 000 cm3,Diesel,28 900 PLN 
2015,169 000 km,2 000 cm3,Diesel,95 900 PLN 
2003,264 381 km,1 781 cm3,Benzyna,14 900 PLN 
2019,8 km,1 968 cm3,Diesel,165 610 PLN 
2011,250 231 km,2 000 cm3,Diesel,58 800 PLN 
2005,242 486 km,2 967 cm3,Diesel,24 500 PLN 
2002,299 000 km,1 900 cm3,Diesel,10 900 PLN 
2000,315 000 km,2 400 cm3,Benzyna+LPG,8 900 PLN 
2010,190 000 km,Diesel,5 000 PLN ,
2018,5 km,1 968 cm3,Diesel,241 356 PLN 
2019,1 190 km,1 984 cm3,Benzyna,264 866 PLN 
2018,5 km,1 968 cm3,Diesel,203 803 PLN 
2018,5 km,1 968 cm3,Diesel,247 893 PLN 
2018,5 km,1 968 cm3,Diesel,244 744 PLN 
2018,19 999 km,1 969 cm3,Diesel,178 900 PLN 
2010,347 000 km,1 968 cm3,Diesel,34 000 PLN 
2007,297 000 km,2 698 cm3,Diesel,24 800 PLN 
2002,237 107 km,2 000 cm3,Benzyna+LPG,13 900 PLN 
2008,295 000 km,3 000 cm3,Diesel,26 900 PLN 
2014,199 000 km,2 000 cm3,Diesel,75 900 PLN 
2009,302 000 km,3 000 cm3,Benzyna,43 500 PLN 
2007,262 000 km,2 698 cm3,Diesel,28 000 PLN 
2012,149 000 km,2 967 cm3,Diesel,61 900 PLN 
2006,202 000 km,2 400 cm3,Benzyna,35 999 PLN 
1997,343 000 km,1 896 cm3,Diesel,7 600 PLN 
2005,227 000 km,2 000 cm3,Diesel,22 900 PLN 
2005,240 000 km,4 163 cm3,Benzyna,38 999 PLN 
2005,290 000 km,Diesel,32 500 PLN ,
2004,248 000 km,2 400 cm3,Benzyna,24 000 PLN 
1997,242 000 km,2 771 cm3,Benzyna+LPG,9 900 PLN 
2015,145 000 km,1 998 cm3,Diesel,76 875 PLN 
2010,212 000 km,2 000 cm3,Diesel,36 900 PLN 
2018,32 351 km,3 000 cm3,Diesel,279 900 PLN 
2004,230 000 km,2 496 cm3,Diesel,14 800 PLN 
2007,275 000 km,2 800 cm3,Benzyna,27 000 PLN 
2018,25 665 km,2 000 cm3,Diesel,179 900 PLN 
2018,26 000 km,1 968 cm3,Diesel,177 100 PLN 
2011,91 000 km,2 000 cm3,Benzyna,44 500 PLN 
2006,220 000 km,2 000 cm3,Diesel,19 900 PLN 
2013,205 000 km,Diesel,64 500 PLN ,
2015,175 000 km,1 968 cm3,Diesel,88 900 PLN 
2006,229 000 km,1 968 cm3,Diesel,23 400 PLN 
2014,62 000 km,2 967 cm3,Diesel,142 500 PLN 
2016,72 034 km,1 968 cm3,Diesel,124 900 PLN 
2007,324 600 km,1 968 cm3,Diesel,22 500 PLN 
2016,82 008 km,2 000 cm3,Diesel,109 900 PLN 
2016,79 397 km,2 000 cm3,Diesel,109 900 PLN 
2013,106 178 km,2 000 cm3,Diesel,79 900 PLN 
2011,219 144 km,2 967 cm3,Diesel,81 500 PLN 
2013,152 500 km,1 968 cm3,Diesel,69 500 PLN 
2006,267 000 km,2 000 cm3,Diesel,20 900 PLN 
2012,270 000 km,2 000 cm3,Diesel,62 900 PLN 
2010,184 000 km,1 984 cm3,Benzyna,29 900 PLN 
2015,194 918 km,2 000 cm3,Diesel,88 999 PLN 
2016,156 000 km,3 000 cm3,Diesel,142 900 PLN 
2004,200 000 km,1 800 cm3,Benzyna,15 700 PLN 
2017,32 921 km,2 000 cm3,Benzyna,154 900 PLN 
2009,325 500 km,2 967 cm3,Diesel,42 000 PLN 
2009,77 000 km,3 000 cm3,Benzyna,59 000 PLN 
2014,155 000 km,1 968 cm3,Diesel,95 900 PLN 
2007,290 000 km,2 987 cm3,Diesel,23 500 PLN 
2002,227 000 km,1 900 cm3,Diesel,14 900 PLN 
2006,419 000 km,2 700 cm3,Diesel,24 900 PLN 
2018,2 km,1 998 cm3,Diesel,183 500 PLN 
2009,222 809 km,2 700 cm3,Diesel,37 999 PLN 
2013,116 800 km,3 000 cm3,Benzyna,115 799 PLN 
2012,256 440 km,2 000 cm3,Diesel,62 900 PLN 
2011,248 000 km,2 000 cm3,Diesel,54 900 PLN 
2012,83 222 km,2 967 cm3,Diesel,41 900 PLN 
2007,209 000 km,1 968 cm3,Diesel,25 900 PLN 
2012,69 000 km,2 800 cm3,Benzyna,81 500 PLN 
2001,258 465 km,1 781 cm3,Benzyna,10 499 PLN 
2006,410 000 km,2 698 cm3,Diesel,18 500 PLN 
2005,245 000 km,1 986 cm3,Diesel,22 000 PLN 
2013,186 336 km,3 000 cm3,Diesel,94 900 PLN 
2012,120 000 km,3 000 cm3,Benzyna,78 000 PLN 
2006,190 000 km,2 000 cm3,Benzyna,25 200 PLN 
2013,242 000 km,2 967 cm3,Diesel,121 770 PLN 
2010,300 000 km,2 700 cm3,Diesel,17 500 PLN 
2018,34 397 km,1 968 cm3,Diesel,112 700 PLN 
2011,116 000 km,3 000 cm3,Diesel,75 000 PLN 
2011,350 000 km,2 998 cm3,Diesel,52 900 PLN 
2005,250 000 km,3 000 cm3,Diesel,27 500 PLN 
1998,400 000 km,1 900 cm3,Diesel,6 500 PLN 
2017,37 808 km,2 000 cm3,Diesel,236 775 PLN 
2008,207 800 km,1 984 cm3,Benzyna,26 200 PLN 
2017,16 636 km,1 968 cm3,Diesel,124 900 PLN 
2012,290 000 km,2 967 cm3,Diesel,78 600 PLN 
2017,18 000 km,2 000 cm3,Diesel,131 610 PLN 
2006,280 000 km,2 967 cm3,Diesel,26 000 PLN 
2010,204 438 km,2 698 cm3,Diesel,55 000 PLN 
2019,1 km,1 968 cm3,Diesel,171 900 PLN 
2014,51 156 km,1 968 cm3,Diesel,81 900 PLN 
2018,19 600 km,1 969 cm3,Diesel,178 900 PLN 
2017,70 494 km,1 968 cm3,Diesel,108 426 PLN 
2004,129 618 km,2 967 cm3,Diesel,11 900 PLN 
2014,168 694 km,1 968 cm3,Diesel,74 900 PLN 
2002,257 000 km,1 900 cm3,Diesel,12 900 PLN 
2018,25 860 km,2 000 cm3,Diesel,149 900 PLN 
2007,229 000 km,4 200 cm3,Benzyna,34 900 PLN 
2005,265 000 km,2 400 cm3,Benzyna,28 900 PLN 
2011,167 804 km,2 000 cm3,Diesel,69 900 PLN 
2004,250 000 km,Diesel,17 999 PLN ,
2018,10 km,1 968 cm3,Diesel,260 122 PLN 
2018,12 000 km,2 967 cm3,Diesel,390 000 PLN 
2005,226 000 km,4 163 cm3,Benzyna,37 900 PLN 
2007,280 000 km,1 968 cm3,Diesel,19 000 PLN 
2018,10 km,2 967 cm3,Diesel,361 616 PLN 
2016,160 000 km,1 968 cm3,Diesel,87 500 PLN 
2012,296 000 km,1 968 cm3,Diesel,46 800 PLN 
2016,47 796 km,1 968 cm3,Diesel,131 900 PLN 
2017,42 270 km,1 968 cm3,Diesel,174 900 PLN 
2015,170 000 km,3 000 cm3,Diesel,99 900 PLN 
2015,88 770 km,2 967 cm3,Diesel,139 900 PLN 
2008,252 000 km,3 000 cm3,Diesel,30 900 PLN 
2007,229 000 km,2 967 cm3,Diesel,23 900 PLN 
2009,227 000 km,1 984 cm3,Benzyna,38 900 PLN 
2009,135 379 km,1 984 cm3,Benzyna,47 900 PLN 
2018,26 352 km,3 000 cm3,Diesel,294 900 PLN 
2016,82 060 km,3 000 cm3,Diesel,209 500 PLN 
2008,216 000 km,1 968 cm3,Diesel,29 000 PLN 
2011,179 700 km,1 968 cm3,Diesel,67 700 PLN 
2018,2 577 km,Diesel,430 000 PLN ,
2017,10 000 km,1 968 cm3,Diesel,167 900 PLN 
1995,311 200 km,2 600 cm3,Benzyna,8 900 PLN 
2011,196 000 km,2 999 cm3,Diesel,67 527 PLN 
2001,279 486 km,2 393 cm3,Benzyna+LPG,12 900 PLN 
2005,291 000 km,3 000 cm3,Diesel,28 500 PLN 
2016,13 000 km,2 000 cm3,Benzyna,113 000 PLN 
2019,32 km,1 984 cm3,Benzyna,341 490 PLN 
2018,21 km,2 967 cm3,Diesel,415 905 PLN 
2018,21 km,2 967 cm3,Diesel,394 670 PLN 
2018,15 km,2 967 cm3,Diesel,329 000 PLN 
2010,275 000 km,Diesel,39 500 PLN ,
2003,257 450 km,2 498 cm3,Diesel,7 500 PLN 
2008,244 000 km,1 968 cm3,Diesel,25 900 PLN 
2009,302 000 km,2 000 cm3,Diesel,33 500 PLN 
2004,168 000 km,2 400 cm3,Benzyna,20 900 PLN 
2002,311 902 km,2 671 cm3,Benzyna,15 900 PLN 
2010,197 452 km,2 998 cm3,Diesel,42 000 PLN 
2012,241 000 km,1 968 cm3,Diesel,56 000 PLN 
2007,299 000 km,2 967 cm3,Diesel,19 900 PLN 
2002,384 000 km,1 900 cm3,Diesel,9 900 PLN 
2009,219 000 km,1 998 cm3,Diesel,36 500 PLN 
2008,297 800 km,1 968 cm3,Diesel,22 900 PLN 
2015,85 002 km,3 000 cm3,Diesel,119 000 PLN 
1994,99 850 km,2 800 cm3,Benzyna,27 900 PLN 
2007,303 000 km,2 700 cm3,Diesel,26 900 PLN 
1999,225 000 km,2 700 cm3,Benzyna,4 999 PLN 
2009,230 000 km,2 000 cm3,Diesel,31 900 PLN 
2002,190 000 km,3 000 cm3,Benzyna,8 900 PLN 
2018,1 968 cm3,Diesel,236 000 PLN ,
2017,35 741 km,2 993 cm3,Diesel,159 900 PLN 
2014,120 000 km,1 968 cm3,Diesel,99 900 PLN 
2013,98 135 km,1 968 cm3,Diesel,104 900 PLN 
1999,197 000 km,1 800 cm3,Benzyna,7 900 PLN 
2005,201 000 km,2 400 cm3,Benzyna,24 300 PLN 
2016,190 000 km,2 967 cm3,Diesel,82 000 PLN 
2017,61 124 km,2 000 cm3,Diesel,99 900 PLN 
2006,308 762 km,3 000 cm3,Diesel,29 500 PLN 
2002,340 000 km,1 900 cm3,Diesel,11 999 PLN 
2011,145 000 km,1 968 cm3,Diesel,42 900 PLN 
2007,243 000 km,2 393 cm3,Benzyna+LPG,33 500 PLN 
1995,254 000 km,1 800 cm3,Benzyna,13 700 PLN 
2019,9 km,1 984 cm3,Diesel,278 900 PLN 
2009,220 000 km,2 700 cm3,Diesel,49 900 PLN 
2014,212 000 km,2 000 cm3,Diesel,72 000 PLN 
2019,9 km,1 984 cm3,Diesel,307 500 PLN 
2018,7 km,1 984 cm3,Diesel,229 478 PLN 
2018,2 967 cm3,Diesel,319 000 PLN ,
1999,336 000 km,4 200 cm3,Benzyna+LPG,12 900 PLN 
2019,9 km,1 984 cm3,Diesel,230 900 PLN 
2010,182 000 km,2 000 cm3,Diesel,39 900 PLN 
2016,159 465 km,1 968 cm3,Diesel,90 000 PLN 
2016,173 000 km,1 997 cm3,Diesel,93 900 PLN 
2005,192 000 km,2 967 cm3,Diesel,28 900 PLN 
2019,9 km,1 984 cm3,Benzyna,288 900 PLN 
2004,332 000 km,2 496 cm3,Diesel,7 000 PLN 
2005,320 000 km,3 000 cm3,Diesel,20 900 PLN 
2019,9 km,1 984 cm3,Benzyna,319 900 PLN 
2009,290 000 km,Diesel,40 500 PLN ,
2005,327 000 km,1 984 cm3,Benzyna,17 399 PLN 
2004,312 465 km,1 900 cm3,Diesel,9 900 PLN 
2019,1 km,2 996 cm3,Diesel,243 000 PLN 
2019,9 km,1 984 cm3,Benzyna,291 900 PLN 
2004,291 971 km,1 896 cm3,Diesel,13 700 PLN 
2015,74 724 km,2 998 cm3,Diesel,129 000 PLN 
2003,205 197 km,2 496 cm3,Diesel,11 449 PLN 
2005,244 000 km,2 400 cm3,Benzyna,25 800 PLN 
2001,277 000 km,1 800 cm3,Benzyna,16 900 PLN 
2002,323 000 km,2 399 cm3,Benzyna+LPG,9 999 PLN 
2017,107 454 km,1 800 cm3,Benzyna,52 900 PLN 
2018,6 km,2 000 cm3,Diesel,208 000 PLN 
2018,10 km,2 000 cm3,Diesel,207 000 PLN 
2018,6 km,2 000 cm3,Diesel,185 000 PLN 
2013,98 000 km,1 968 cm3,Diesel,77 000 PLN 
2002,272 000 km,3 000 cm3,Benzyna+LPG,19 900 PLN 
2012,234 000 km,1 968 cm3,Diesel,48 900 PLN 
2007,258 000 km,2 000 cm3,Diesel,27 900 PLN 
2003,226 000 km,3 000 cm3,Benzyna,20 200 PLN 
2014,95 402 km,3 000 cm3,Diesel,64 900 PLN 
2007,219 000 km,3 000 cm3,Diesel,14 900 PLN 
2016,61 187 km,3 000 cm3,Diesel,142 900 PLN 
2016,60 000 km,2 000 cm3,Diesel,169 000 PLN 
2002,269 000 km,2 500 cm3,Diesel,13 700 PLN 
2009,229 000 km,2 000 cm3,Diesel,31 900 PLN 
2011,181 000 km,2 967 cm3,Diesel,85 989 PLN 
2015,179 820 km,2 000 cm3,Diesel,91 899 PLN 
2015,164 000 km,2 000 cm3,Diesel,96 900 PLN 
2015,120 700 km,2 967 cm3,Diesel,189 900 PLN 
2003,248 000 km,1 900 cm3,Diesel,16 500 PLN 
2009,245 000 km,Diesel,23 900 PLN ,
2009,210 800 km,2 967 cm3,Diesel,45 000 PLN 
2012,327 000 km,3 000 cm3,Diesel,72 001 PLN 
2005,370 000 km,Benzyna,11 000 PLN ,
2014,135 200 km,2 967 cm3,Diesel,96 000 PLN 
2008,320 000 km,2 700 cm3,Diesel,15 900 PLN 
2016,174 443 km,1 989 cm3,Diesel,92 000 PLN 
2007,280 000 km,2 400 cm3,Benzyna,26 600 PLN 
2011,250 000 km,3 000 cm3,Diesel,66 800 PLN 
2012,245 000 km,3 000 cm3,Diesel,55 900 PLN 
2015,170 000 km,2 000 cm3,Diesel,92 000 PLN 
2007,186 500 km,1 968 cm3,Diesel,23 500 PLN 
2016,166 876 km,1 969 cm3,Diesel,114 000 PLN 
2004,218 000 km,1 800 cm3,Benzyna,14 300 PLN 
2016,161 265 km,1 968 cm3,Diesel,94 000 PLN 
2016,167 556 km,1 997 cm3,Diesel,95 000 PLN 
2004,245 000 km,4 163 cm3,Benzyna,28 500 PLN 
2006,274 000 km,2 700 cm3,Diesel,25 900 PLN 
2014,184 000 km,1 968 cm3,Diesel,78 000 PLN 
2015,77 000 km,3 000 cm3,Diesel,129 999 PLN 
2006,275 722 km,3 000 cm3,Diesel,23 800 PLN 
2001,256 387 km,1 900 cm3,Diesel,12 900 PLN 
2003,180 000 km,2 400 cm3,Benzyna,14 900 PLN 
2002,176 000 km,2 700 cm3,Benzyna,18 999 PLN 
2005,277 000 km,2 700 cm3,Diesel,21 900 PLN 
2017,34 453 km,1 968 cm3,Benzyna,168 900 PLN 
2000,320 000 km,Benzyna+LPG,10 900 PLN ,
2004,200 000 km,Diesel,25 500 PLN ,
2016,149 000 km,2 000 cm3,Diesel,122 900 PLN 
2008,185 000 km,2 700 cm3,Diesel,33 000 PLN 
2018,5 km,1 968 cm3,Diesel,259 549 PLN 
2007,234 990 km,Diesel,21 900 PLN ,
2004,240 567 km,1 980 cm3,Benzyna,13 700 PLN 
2015,62 100 km,1 968 cm3,Diesel,114 890 PLN 
2007,249 546 km,2 000 cm3,Diesel,22 500 PLN 
2015,160 000 km,2 000 cm3,Diesel,82 000 PLN 
2003,215 000 km,2 400 cm3,Benzyna,9 500 PLN 
2000,323 000 km,2 800 cm3,Benzyna+LPG,11 500 PLN 
2008,245 900 km,2 000 cm3,Benzyna,19 900 PLN 
2003,227 450 km,1 984 cm3,Benzyna,11 900 PLN 
2000,307 000 km,2 496 cm3,Diesel,4 500 PLN 
2010,192 123 km,3 000 cm3,Diesel,39 900 PLN 
2016,178 556 km,1 968 cm3,Diesel,88 900 PLN 
2003,179 000 km,1 984 cm3,Benzyna,10 900 PLN 
2016,44 000 km,3 000 cm3,Diesel,119 000 PLN 
2006,186 000 km,1 986 cm3,Benzyna,18 500 PLN 
2004,320 000 km,1 900 cm3,Diesel,15 500 PLN 
2006,245 000 km,2 000 cm3,Benzyna,15 900 PLN 
2017,179 001 km,1 968 cm3,Diesel,88 900 PLN 
1998,250 000 km,Diesel,2 200 PLN ,
2006,179 000 km,1 968 cm3,Diesel,21 900 PLN 
2018,5 km,1 968 cm3,Diesel,211 726 PLN 
2007,284 000 km,2 967 cm3,Diesel,30 900 PLN 
2013,263 219 km,2 967 cm3,Diesel,65 900 PLN 
2014,94 000 km,3 000 cm3,Diesel,124 900 PLN 
2004,150 000 km,3 200 cm3,Benzyna,14 900 PLN 
1998,420 000 km,1 900 cm3,Diesel,5 950 PLN 
2003,235 000 km,3 000 cm3,Benzyna,13 800 PLN 
2013,124 000 km,3 000 cm3,Diesel,93 000 PLN 
2013,219 000 km,1 968 cm3,Diesel,67 900 PLN 
2009,231 290 km,2 698 cm3,Diesel,34 500 PLN 
2002,296 424 km,2 496 cm3,Diesel,9 000 PLN 
2013,164 300 km,3 000 cm3,Diesel,92 986 PLN 
2013,226 000 km,1 968 cm3,Diesel,69 990 PLN 
2013,75 384 km,2 000 cm3,Benzyna,83 000 PLN 
2018,2 000 km,2 967 cm3,Diesel,359 900 PLN 
2012,209 000 km,Diesel,82 000 PLN ,
2005,187 000 km,3 000 cm3,Diesel,28 900 PLN 
2018,7 km,2 967 cm3,Diesel,303 206 PLN 
2018,2 967 cm3,Diesel,367 900 PLN ,
2002,270 000 km,1 900 cm3,Diesel,11 900 PLN 
2000,191 234 km,1 781 cm3,Benzyna+LPG,9 999 PLN 
2007,143 000 km,2 400 cm3,Benzyna,35 700 PLN 
2001,255 000 km,1 900 cm3,Diesel,12 500 PLN 
2011,156 458 km,3 000 cm3,Benzyna,29 000 PLN 
2018,2 967 cm3,Diesel,327 204 PLN ,
2018,Diesel,326 952 PLN ,,
2018,5 km,1 968 cm3,Diesel,228 397 PLN 
2000,284 000 km,2 500 cm3,Diesel,12 500 PLN 
2003,280 317 km,1 896 cm3,Diesel,13 999 PLN 
2017,12 636 km,1 968 cm3,Benzyna,168 900 PLN 
2010,265 000 km,2 800 cm3,Benzyna,36 800 PLN 
2013,76 707 km,2 000 cm3,Benzyna,47 000 PLN 
2001,267 200 km,1 896 cm3,Diesel,8 000 PLN 
2016,54 000 km,2 000 cm3,Benzyna,105 000 PLN 
1999,245 783 km,2 452 cm3,Benzyna+LPG,6 500 PLN 
2010,240 000 km,1 968 cm3,Diesel,37 900 PLN 
2016,37 500 km,2 995 cm3,Benzyna,159 000 PLN 
2006,370 000 km,Diesel,17 000 PLN ,
1999,299 100 km,1 800 cm3,Benzyna,7 400 PLN 
2005,230 000 km,3 000 cm3,Diesel,27 000 PLN 
2008,325 000 km,2 698 cm3,Diesel,23 500 PLN 
2016,140 243 km,1 968 cm3,Diesel,89 999 PLN 
2017,176 364 km,1 968 cm3,Diesel,97 777 PLN 
2015,174 869 km,1 986 cm3,Diesel,77 777 PLN 
2014,83 840 km,2 000 cm3,Diesel,89 999 PLN 
2017,139 000 km,2 967 cm3,Diesel,122 900 PLN 
2016,96 000 km,2 000 cm3,Diesel,83 000 PLN 
2006,315 000 km,3 000 cm3,Diesel,25 900 PLN 
2005,235 552 km,3 123 cm3,Benzyna,17 900 PLN 
2018,10 km,1 968 cm3,Diesel,217 672 PLN 
2018,139 445 km,1 998 cm3,Diesel,133 000 PLN 
2007,240 279 km,2 698 cm3,Diesel,27 900 PLN 
2007,301 000 km,3 000 cm3,Diesel,31 500 PLN 
2019,1 984 cm3,Benzyna,272 100 PLN ,
1997,400 000 km,2 771 cm3,Benzyna+LPG,5 999 PLN 
2013,165 000 km,1 968 cm3,Diesel,70 000 PLN 
2007,165 000 km,2 000 cm3,Diesel,24 800 PLN 
2008,265 000 km,Diesel,27 200 PLN ,
2018,2 967 cm3,Diesel,320 000 PLN ,
2016,120 189 km,2 998 cm3,Diesel,199 900 PLN 
2007,376 000 km,2 967 cm3,Diesel,29 900 PLN 
2004,226 000 km,2 500 cm3,Diesel,11 000 PLN 
2018,29 000 km,2 000 cm3,Diesel,154 900 PLN 
2013,182 900 km,1 968 cm3,Diesel,61 000 PLN 
2005,178 600 km,2 000 cm3,Benzyna,25 200 PLN 
2015,112 771 km,3 000 cm3,Diesel,183 885 PLN 
2015,169 665 km,1 997 cm3,Diesel,76 500 PLN 
2016,174 592 km,1 988 cm3,Diesel,94 000 PLN 
2018,2 967 cm3,Diesel,366 600 PLN ,
2014,116 963 km,1 968 cm3,Diesel,92 100 PLN 
2015,47 000 km,1 968 cm3,Diesel,114 900 PLN 
2010,280 000 km,1 998 cm3,Benzyna,31 900 PLN 
2009,260 000 km,2 700 cm3,Diesel,25 500 PLN 
2002,293 000 km,2 500 cm3,Diesel,7 900 PLN 
2017,10 km,1 968 cm3,Diesel,189 900 PLN 
2016,69 950 km,2 000 cm3,Benzyna,157 900 PLN 
2007,426 000 km,2 698 cm3,Diesel,19 900 PLN 
2006,226 000 km,2 698 cm3,Diesel,19 500 PLN 
2018,2 967 cm3,Diesel,305 500 PLN ,
1998,216 900 km,1 900 cm3,Diesel,17 500 PLN 
2012,96 500 km,2 000 cm3,Benzyna,59 900 PLN 
2018,31 235 km,3 000 cm3,Diesel,279 900 PLN 
2019,1 984 cm3,Benzyna,305 600 PLN ,
2018,9 km,1 968 cm3,Diesel,209 900 PLN 
2015,184 188 km,2 000 cm3,Diesel,84 900 PLN 
2003,190 000 km,2 393 cm3,Benzyna,16 900 PLN 
1995,194 000 km,2 600 cm3,Benzyna,9 900 PLN 
2015,58 000 km,1 998 cm3,Benzyna,114 390 PLN 
2006,196 678 km,1 986 cm3,Diesel,24 999 PLN 
2013,198 700 km,2 000 cm3,Diesel,71 500 PLN 
2012,205 866 km,1 984 cm3,Benzyna,72 900 PLN 
2011,239 000 km,2 000 cm3,Diesel,48 900 PLN 
1999,180 000 km,1 900 cm3,Diesel,11 300 PLN 
2005,263 458 km,3 000 cm3,Diesel,24 900 PLN 
2019,500 km,2 000 cm3,Diesel,297 537 PLN 
2015,129 900 km,3 000 cm3,Diesel,149 999 PLN 
2007,308 000 km,2 393 cm3,Benzyna,5 800 EUR 
2012,226 099 km,1 968 cm3,Diesel,67 900 PLN 
2005,240 000 km,2 698 cm3,Diesel,11 200 PLN 
2016,140 044 km,2 000 cm3,Diesel,103 900 PLN 
2005,255 000 km,3 200 cm3,Benzyna,22 500 PLN 
2016,127 900 km,2 967 cm3,Diesel,160 900 PLN 
2011,215 852 km,2 998 cm3,Diesel,74 900 PLN 
2013,96 000 km,1 968 cm3,Diesel,73 900 PLN 
2007,163 419 km,1 995 cm3,Diesel,27 900 PLN 
2009,218 000 km,2 800 cm3,Benzyna,38 900 PLN 
2006,220 000 km,1 968 cm3,Diesel,22 900 PLN 
1999,198 000 km,1 781 cm3,Benzyna,5 900 PLN 
2016,235 000 km,1 968 cm3,Diesel,96 900 PLN 
2019,10 km,2 000 cm3,Diesel,169 910 PLN 
2018,18 556 km,3 000 cm3,Diesel,339 900 PLN 
2016,150 116 km,1 968 cm3,Diesel,79 900 PLN 
2016,161 738 km,1 968 cm3,Diesel,86 900 PLN 
2018,18 556 km,3 000 cm3,Diesel,339 900 PLN 
2017,26 522 km,3 000 cm3,Diesel,125 999 PLN 
2017,20 km,3 000 cm3,Diesel,270 000 PLN 
2003,256 234 km,2 500 cm3,Diesel,10 999 PLN 
2009,312 000 km,2 998 cm3,Diesel,37 900 PLN 
2009,259 000 km,1 968 cm3,Diesel,32 900 PLN 
2007,221 000 km,2 400 cm3,Benzyna,25 000 PLN 
2018,15 km,3 000 cm3,Diesel,335 000 PLN 
2016,199 864 km,1 968 cm3,Diesel,89 900 PLN 
2014,125 500 km,2 000 cm3,Diesel,75 400 PLN 
2015,89 943 km,2 000 cm3,Diesel,134 900 PLN 
2011,177 345 km,1 968 cm3,Diesel,55 900 PLN 
2012,141 050 km,2 967 cm3,Diesel,135 000 PLN 
2011,178 354 km,2 000 cm3,Diesel,43 050 PLN 
2006,261 000 km,1 968 cm3,Diesel,19 900 PLN 
2018,10 km,3 000 cm3,Diesel,320 990 PLN 
2004,210 131 km,2 400 cm3,Benzyna,18 500 PLN 
2004,319 543 km,3 000 cm3,Diesel,22 900 PLN 
2011,167 800 km,1 968 cm3,Diesel,62 900 PLN 
2005,185 500 km,2 400 cm3,Benzyna,27 000 PLN 
2000,290 000 km,2 800 cm3,Benzyna+LPG,11 900 PLN 
2011,184 000 km,3 000 cm3,Diesel,69 900 PLN 
2001,283 000 km,2 496 cm3,Diesel,9 000 PLN 
2018,10 km,2 968 cm3,Diesel,338 129 PLN 
